tier	file	line	kind	name	attrs	boneyard_refs	orphan_module
SURVIVOR	FormalSystem/Metalogic/BXCanonical/TruthLemma.lean	210	def	BxLt		0	
SURVIVOR	FormalSystem/Metalogic/Bundle/LimitMCS.lean	481	theorem	limitMCSAbove_is_mcs		0	
SURVIVOR	FormalSystem/Metalogic/Bundle/TemporalCoherence.lean	213	theorem	restricted_temporal_backward_G_strict		1	
SURVIVOR	FormalSystem/Metalogic/Bundle/TemporalCoherence.lean	238	theorem	restricted_temporal_backward_H_strict		1	
SURVIVOR	FormalSystem/Metalogic/Bundle/WitnessSeed.lean	135	theorem	psi_mem_forward_temporal_witness_seed		1	
SURVIVOR	FormalSystem/Metalogic/Bundle/WitnessSeed.lean	295	theorem	psi_mem_past_temporal_witness_seed		2	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/Corollaries.lean	83	theorem	tmFragIffPlusDense		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/Corollaries.lean	88	theorem	tmFragIffPlusZTime		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/Corollaries.lean	93	theorem	tmFragIffPlusRTime		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/Forward.lean	69	theorem	forward_plus_base		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/Forward.lean	74	theorem	forward_plus_dense		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/Forward.lean	79	theorem	forward_plus_ztime		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/Forward.lean	85	theorem	forward_plus_rtime		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/Forward.lean	101	theorem	plusDerivable_ofFormula_iff_base		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/Forward.lean	106	theorem	plusDerivable_ofFormula_iff_dense		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/Forward.lean	112	theorem	plusDerivable_ofFormula_iff_ztime		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/Forward.lean	118	theorem	plusDerivable_ofFormula_iff_rtime		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/Forward.lean	138	theorem	plus_of_tmMinus_base		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/Forward.lean	143	theorem	plus_of_tmMinus_dense		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/Forward.lean	148	theorem	plus_of_tmMinus_ztime		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/Forward.lean	154	theorem	plus_of_tmMinus_rtime		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/PlusSoundness.lean	155	theorem	plus_soundness_dense		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/PlusSoundness.lean	160	theorem	plus_soundness_ztime		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/PlusSoundness.lean	165	theorem	plus_soundness_rtime		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Plus/PlusSoundness.lean	180	theorem	plus_not_derivable_nil_bot		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Star/Forward.lean	105	theorem	forward_star_base		0	
SURVIVOR	FormalSystem/Metalogic/Conservativity/Star/Forward.lean	111	theorem	forward_star_dense		0	
