name	category	kind	module
FormalSystem.Metalogic.BXCanonical.enriched_resolving_seed	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.OrderedSeedConsistency
FormalSystem.Metalogic.BXCanonical.Quasimodel.hintikka_step	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.Quasimodel.Construction
FormalSystem.Metalogic.BXCanonical.Quasimodel.defect_count	data	def	FormalSystem.Metalogic.BXCanonical.Quasimodel.Construction
FormalSystem.Metalogic.BXCanonical.Quasimodel.since_defect_count	data	def	FormalSystem.Metalogic.BXCanonical.Quasimodel.Construction
FormalSystem.Metalogic.BXCanonical.Quasimodel.sigma_signature_formulas	data	def	FormalSystem.Metalogic.BXCanonical.Quasimodel.HintikkaPoint
FormalSystem.Metalogic.BXCanonical.Quasimodel.sigma_signature	data	def	FormalSystem.Metalogic.BXCanonical.Quasimodel.HintikkaPoint
FormalSystem.Metalogic.BXCanonical.Quasimodel.bigconj_intro	data	def	FormalSystem.Metalogic.BXCanonical.Quasimodel.Realization
FormalSystem.Metalogic.BXCanonical.Quasimodel.bigconj_mem_iff	data	def	FormalSystem.Metalogic.BXCanonical.Quasimodel.Realization
FormalSystem.Metalogic.BXCanonical.Quasimodel.g_content_sigma	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.Quasimodel.Realization
FormalSystem.Metalogic.BXCanonical.bx_lt	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.TruthLemma
FormalSystem.Metalogic.Bundle.BFMCS.eval_family	data	def	FormalSystem.Metalogic.Bundle.BFMCS
FormalSystem.Metalogic.Bundle.ExistsTask_past	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.CanonicalFrame
FormalSystem.Metalogic.Bundle.iter_F	data	def	FormalSystem.Metalogic.Bundle.CanonicalTaskRelation
FormalSystem.Metalogic.Bundle.closure_F_bound	data	def	FormalSystem.Metalogic.Bundle.CanonicalTaskRelation
FormalSystem.Metalogic.Bundle.iter_P	data	def	FormalSystem.Metalogic.Bundle.CanonicalTaskRelation
FormalSystem.Metalogic.Bundle.closure_P_bound	data	def	FormalSystem.Metalogic.Bundle.CanonicalTaskRelation
FormalSystem.Metalogic.Bundle.lindenbaumMCS_set	prop_valued_definition	def	FormalSystem.Metalogic.Bundle.Construction
