old_name	target_final	full_target	category	module	usages	source
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_subInteriorZones	kvESubInteriorZones	FormalSystem.Metalogic.WeakCanonical.Kamp.kvESubInteriorZones	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.SubBracket	3	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.mergeNF_succ	mergeNFSucc	FormalSystem.Metalogic.WeakCanonical.Kamp.mergeNFSucc	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfDepth0Generalized	2	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.neg_b2_bracket_formula	negB2BracketFormula	FormalSystem.Metalogic.WeakCanonical.Kamp.negB2BracketFormula	data	FormalSystem.Metalogic.WeakCanonical.Kamp.EANegationClosure	4	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf0_assemble	nf0Assemble	FormalSystem.Metalogic.WeakCanonical.Kamp.nf0Assemble	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfEFold	238	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf0_dropFresh	nf0DropFresh	FormalSystem.Metalogic.WeakCanonical.Kamp.nf0DropFresh	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfEFold	155	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf0_projFresh	nf0ProjFresh	FormalSystem.Metalogic.WeakCanonical.Kamp.nf0ProjFresh	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfEFold	81	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf0_zoneSpec	nf0ZoneSpec	FormalSystem.Metalogic.WeakCanonical.Kamp.nf0ZoneSpec	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfEFold	357	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf2_locus	nf2Locus	FormalSystem.Metalogic.WeakCanonical.Kamp.nf2Locus	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.Base	7	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf3_locus0	nf3Locus0	FormalSystem.Metalogic.WeakCanonical.Kamp.nf3Locus0	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.Base	3	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nfN_locus0	nfNLocus0	FormalSystem.Metalogic.WeakCanonical.Kamp.nfNLocus0	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.Base	3	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.nf_2var_exist_depth0_tl_fn	nf2varExistDepth0TlFn	FormalSystem.Metalogic.WeakCanonical.Kamp.nf2varExistDepth0TlFn	data	FormalSystem.Metalogic.WeakCanonical.Kamp.KampPrior	1	flagged
